Station Name,Grid Coordinates,Coordinates
BOX,"[98, 45]","[[[-70.4388313, 41.5993595], [-70.4388313, 41.5778789], [-70.4101066, 41.5778789], [-70.4101066, 41.5993595], [-70.4388313, 41.5993595]]]"
BOX,"[100, 46]","[[[-70.37611, 41.612957], [-70.37611, 41.5914802], [-70.3473854, 41.5914802], [-70.3473854, 41.612957], [-70.37611, 41.612957]]]"
BOX,"[101, 46]","[[[-70.3473892, 41.6090106], [-70.3473892, 41.587530099999995], [-70.3186721, 41.587530099999995], [-70.3186721, 41.6090106], [-70.3473892, 41.6090106]]]"
BOX,"[104, 47]","[[[-70.255928, 41.6186027], [-70.255928, 41.5971336], [-70.2272109, 41.5971336], [-70.2272109, 41.6186027], [-70.255928, 41.6186027]]]"
BOX,"[106, 47]","[[[-70.1984825, 41.61067], [-70.1984825, 41.589189499999996], [-70.1697731, 41.589189499999996], [-70.1697731, 41.61067], [-70.1984825, 41.61067]]]"
BOX,"[112, 48]","[[[-70.0208702, 41.6082038], [-70.0208702, 41.5867347], [-69.992176, 41.5867347], [-69.992176, 41.6082038], [-70.0208702, 41.6082038]]]"
BOX,"[113, 48]","[[[-69.9921684, 41.6041946], [-69.9921684, 41.5827255], [-69.963459, 41.5827255], [-69.963459, 41.6041946], [-69.9921684, 41.6041946]]]"
BOX,"[114, 48]","[[[-69.9634552, 41.6001853], [-69.9634552, 41.5787162], [-69.9347381, 41.5787162], [-69.9347381, 41.6001853], [-69.9634552, 41.6001853]]]"
BOX,"[116, 49]","[[[-69.9006767, 41.6136131], [-69.9006767, 41.592144000000005], [-69.87196730000001, 41.592144000000005], [-69.87196730000001, 41.6136131], [-69.9006767, 41.6136131]]]"
BOX,"[118, 49]","[[[-69.8432693, 41.6055641], [-69.8432693, 41.584095000000005], [-69.81456750000001, 41.584095000000005], [-69.81456750000001, 41.6055641], [-69.8432693, 41.6055641]]]"
BOX,"[119, 49]","[[[-69.8145675, 41.6015205], [-69.8145675, 41.580059], [-69.7858657, 41.580059], [-69.7858657, 41.6015205], [-69.8145675, 41.6015205]]]"
BOX,"[120, 50]","[[[-69.7804679, 41.6189537], [-69.7804679, 41.5974845], [-69.75175850000001, 41.5974845], [-69.75175850000001, 41.6189537], [-69.7804679, 41.6189537]]]"
BOX,"[125, 51]","[[[-69.6315498, 41.6201343], [-69.6315498, 41.598684299999995], [-69.6028556, 41.598684299999995], [-69.6028556, 41.6201343], [-69.6315498, 41.6201343]]]"
BOX,"[126, 51]","[[[-69.6028518, 41.6160812], [-69.6028518, 41.5946197], [-69.57415, 41.5946197], [-69.57415, 41.6160812], [-69.6028518, 41.6160812]]]"
BOX,"[19, 33]","[[[-72.7721481, 41.6376438], [-72.7721481, 41.6160945], [-72.74332419999999, 41.6160945], [-72.74332419999999, 41.6376438], [-72.7721481, 41.6376438]]]"
BOX,"[33, 35]","[[[-72.3591499, 41.6303138], [-72.3591499, 41.608783700000004], [-72.3303489, 41.608783700000004], [-72.3303489, 41.6303138], [-72.3591499, 41.6303138]]]"
BOX,"[34, 35]","[[[-72.3303451, 41.6266918], [-72.3303451, 41.605150200000004], [-72.3015365, 41.605150200000004], [-72.3015365, 41.6266918], [-72.3303451, 41.6266918]]]"
BOX,"[53, 38]","[[[-71.7685508, 41.6213092], [-71.7685508, 41.5997905], [-71.7397651, 41.5997905], [-71.7397651, 41.6213092], [-71.7685508, 41.6213092]]]"
