Station Name,Grid Coordinates,Coordinates
CAR,"[97, 26]","[[[-68.2601239, 43.9453604], [-68.2659816, 43.9242487], [-68.236661, 43.920026899999996], [-68.2307972, 43.9411383], [-68.2601239, 43.9453604]]]"
CAR,"[98, 27]","[[[-68.2249404, 43.9622384], [-68.2308051, 43.9411363], [-68.201495, 43.936911499999994], [-68.1956242, 43.95801339999999], [-68.2249404, 43.9622384]]]"
CAR,"[103, 28]","[[[-68.0724469, 43.9621769], [-68.0783479, 43.9410674], [-68.04903039999999, 43.936816900000004], [-68.04312329999999, 43.9579261], [-68.0724469, 43.9621769]]]"
CAR,"[104, 28]","[[[-68.0431261, 43.9579265], [-68.0490332, 43.9368173], [-68.0197238, 43.9325629], [-68.0138106, 43.9536718], [-68.0431261, 43.9579265]]]"
CAR,"[105, 28]","[[[-68.0138134, 43.9536722], [-68.0197267, 43.9325633], [-67.9904255, 43.928305099999996], [-67.9845062, 43.949413699999994], [-68.0138134, 43.9536722]]]"
CAR,"[106, 28]","[[[-67.9845048, 43.9494135], [-67.9904241, 43.9283049], [-67.9611227, 43.9240416], [-67.95519730000001, 43.9451498], [-67.9845048, 43.9494135]]]"
CAR,"[107, 28]","[[[-67.9551959, 43.9451496], [-67.96112120000001, 43.9240414], [-67.93181960000001, 43.919773], [-67.92588810000001, 43.940880899999996], [-67.9551959, 43.9451496]]]"
CAR,"[108, 29]","[[[-67.9199553, 43.9619764], [-67.9258876, 43.9408776], [-67.8965795, 43.9366038], [-67.8906412, 43.9577022], [-67.9199553, 43.9619764]]]"
CAR,"[109, 29]","[[[-67.890644, 43.9577026], [-67.8965824, 43.9366042], [-67.8672825, 43.932326499999995], [-67.8613381, 43.9534246], [-67.890644, 43.9577026]]]"
CAR,"[110, 29]","[[[-67.8613353, 43.9534242], [-67.8672797, 43.9323261], [-67.8379769, 43.928042899999994], [-67.8320263, 43.949140699999994], [-67.8613353, 43.9534242]]]"
CAR,"[111, 29]","[[[-67.8320277, 43.9491409], [-67.8379783, 43.928043100000004], [-67.8086808, 43.9237557], [-67.8027242, 43.9448531], [-67.8320277, 43.9491409]]]"
CAR,"[113, 30]","[[[-67.7674608, 43.961655], [-67.773426, 43.940561], [-67.7441276, 43.9362639], [-67.7381563, 43.9573575], [-67.7674608, 43.961655]]]"
CAR,"[115, 30]","[[[-67.7088614, 43.9530563], [-67.71483880000001, 43.931963], [-67.68554840000002, 43.9276569], [-67.67956490000002, 43.9487499], [-67.7088614, 43.9530563]]]"
CAR,"[116, 30]","[[[-67.6795593, 43.9487491], [-67.6855428, 43.9276561], [-67.65624369999999, 43.9233437], [-67.65025409999998, 43.9444363], [-67.6795593, 43.9487491]]]"
CAR,"[117, 30]","[[[-67.6502654, 43.944438], [-67.6562549, 43.9233453], [-67.62698089999999, 43.9190315], [-67.6209854, 43.9401238], [-67.6502654, 43.944438]]]"
CAR,"[118, 31]","[[[-67.6149739, 43.9612237], [-67.6209743, 43.9401264], [-67.5916772, 43.9358047], [-67.5856706, 43.956901699999996], [-67.6149739, 43.9612237]]]"
CAR,"[120, 31]","[[[-67.5563798, 43.9525764], [-67.56239240000001, 43.9314798], [-67.53310330000001, 43.9271491], [-67.52708460000001, 43.948245400000005], [-67.5563798, 43.9525764]]]"
CAR,"[121, 31]","[[[-67.5270874, 43.9482458], [-67.5331061, 43.9271495], [-67.5038251, 43.922815], [-67.4978004, 43.9439109], [-67.5270874, 43.9482458]]]"
CAR,"[123, 32]","[[[-67.4624814, 43.9606479], [-67.4685118, 43.9395655], [-67.4392244, 43.9352205], [-67.43318790000001, 43.9563025], [-67.4624814, 43.9606479]]]"
CAR,"[125, 32]","[[[-67.4039041, 43.9519535], [-67.4099467, 43.9308718], [-67.38066730000001, 43.9265178], [-67.37461860000002, 43.9475992], [-67.4039041, 43.9519535]]]"
CAR,"[87, 25]","[[[-68.5592599, 43.966202], [-68.5650559, 43.9450779], [-68.53572460000001, 43.9409045], [-68.52992250000001, 43.9620283], [-68.5592599, 43.966202]]]"
CAR,"[88, 26]","[[[-68.5241247, 43.9831405], [-68.52992760000001, 43.9620259], [-68.5006012, 43.9578487], [-68.49479210000001, 43.978963], [-68.5241247, 43.9831405]]]"
CAR,"[89, 26]","[[[-68.4947823, 43.9789616], [-68.5005913, 43.9578473], [-68.4712476, 43.953662699999995], [-68.46543249999999, 43.9747766], [-68.4947823, 43.9789616]]]"
CAR,"[91, 26]","[[[-68.436098, 43.9705887], [-68.4419192, 43.9494751], [-68.4125946, 43.9452831], [-68.4067673, 43.9663964], [-68.436098, 43.9705887]]]"
CAR,"[93, 27]","[[[-68.3715945, 43.9832985], [-68.3774288, 43.9621947], [-68.3480863, 43.957990599999995], [-68.342246, 43.979093999999996], [-68.3715945, 43.9832985]]]"
CAR,"[95, 27]","[[[-68.3129253, 43.9748885], [-68.3187717, 43.9537854], [-68.2894455, 43.9495735], [-68.283593, 43.9706763], [-68.3129253, 43.9748885]]]"
CAR,"[98, 28]","[[[-68.2190681, 43.9833557], [-68.2249387, 43.9622445], [-68.1956225, 43.9580195], [-68.1897458, 43.9791303], [-68.2190681, 43.9833557]]]"
CAR,"[99, 28]","[[[-68.1897401, 43.9791295], [-68.1956168, 43.9580186], [-68.16629189999999, 43.9537873], [-68.1604091, 43.9748978], [-68.1897401, 43.9791295]]]"
CAR,"[100, 28]","[[[-68.160412, 43.9748983], [-68.1662947, 43.9537877], [-68.136978, 43.9495525], [-68.1310891, 43.970662700000005], [-68.160412, 43.9748983]]]"
CAR,"[101, 28]","[[[-68.1310877, 43.9706625], [-68.1369766, 43.9495523], [-68.10765959999999, 43.9453119], [-68.1017646, 43.9664219], [-68.1310877, 43.9706625]]]"
CAR,"[105, 29]","[[[-68.0079002, 43.9747689], [-68.01381429999999, 43.9536692], [-67.98450709999999, 43.9494106], [-67.97858689999998, 43.97051], [-68.0079002, 43.9747689]]]"
CAR,"[107, 29]","[[[-67.9492705, 43.9662456], [-67.9551967, 43.9451466], [-67.925889, 43.9408778], [-67.9199567, 43.9619766], [-67.9492705, 43.9662456]]]"
CAR,"[110, 30]","[[[-67.8553883, 43.9745191], [-67.86133530000001, 43.9534242], [-67.83202630000001, 43.9491407], [-67.82607320000001, 43.9702353], [-67.8553883, 43.9745191]]]"
CAR,"[112, 30]","[[[-67.7967664, 43.9659476], [-67.8027256, 43.9448533], [-67.7734274, 43.9405612], [-67.7674622, 43.961655199999996], [-67.7967664, 43.9659476]]]"
CAR,"[114, 31]","[[[-67.7321818, 43.9784606], [-67.73815800000001, 43.957361899999995], [-67.70886170000001, 43.95306059999999], [-67.70287940000001, 43.97415889999999], [-67.7321818, 43.9784606]]]"
CAR,"[119, 32]","[[[-67.5796701, 43.9779809], [-67.5856763, 43.9568972], [-67.5563841, 43.9525717], [-67.55037180000001, 43.9736551], [-67.5796701, 43.9779809]]]"
CAR,"[120, 32]","[[[-67.550369, 43.9736547], [-67.5563813, 43.952571299999995], [-67.52708609999999, 43.948240299999995], [-67.52106769999999, 43.96932329999999], [-67.550369, 43.9736547]]]"
CAR,"[125, 33]","[[[-67.3978571, 43.9730381], [-67.4039035, 43.9519555], [-67.374618, 43.947601199999994], [-67.3685656, 43.9686835], [-67.3978571, 43.9730381]]]"
CAR,"[86, 26]","[[[-68.5828114, 43.9914834], [-68.5886021, 43.9703682], [-68.5592594, 43.9661988], [-68.5534625, 43.9873137], [-68.5828114, 43.9914834]]]"
CAR,"[87, 26]","[[[-68.553464, 43.9873139], [-68.5592608, 43.966198999999996], [-68.5299234, 43.96202529999999], [-68.5241204, 43.98313989999999], [-68.553464, 43.9873139]]]"
CAR,"[89, 27]","[[[-68.4889733, 44.0000636], [-68.49478309999999, 43.9789586], [-68.46543329999999, 43.9747736], [-68.45961739999998, 43.9958783], [-68.4889733, 44.0000636]]]"
CAR,"[90, 27]","[[[-68.4596202, 43.9958787], [-68.4654362, 43.974774], [-68.4360946, 43.970585099999994], [-68.4302725, 43.99168949999999], [-68.4596202, 43.9958787]]]"
CAR,"[95, 28]","[[[-68.3070713, 43.9960068], [-68.3129236, 43.974894600000006], [-68.28359130000001, 43.97068240000001], [-68.27773290000002, 43.99179420000001], [-68.3070713, 43.9960068]]]"
CAR,"[97, 28]","[[[-68.2483999, 43.9875774], [-68.2542644, 43.966465899999996], [-68.22493159999999, 43.96224349999999], [-68.219061, 43.98335469999999], [-68.2483999, 43.9875774]]]"
CAR,"[100, 29]","[[[-68.1545292, 43.9959966], [-68.1604128, 43.9748952], [-68.13109, 43.9706597], [-68.1252002, 43.9917607], [-68.1545292, 43.9959966]]]"
CAR,"[101, 29]","[[[-68.1251988, 43.9917605], [-68.13108860000001, 43.9706595], [-68.10176550000001, 43.9664188], [-68.09586960000001, 43.9875195], [-68.1251988, 43.9917605]]]"
CAR,"[102, 29]","[[[-68.0958725, 43.9875199], [-68.1017683, 43.966419200000004], [-68.0724534, 43.962174700000006], [-68.0665515, 43.98327510000001], [-68.0958725, 43.9875199]]]"
CAR,"[103, 30]","[[[-68.0606414, 44.0043715], [-68.0665458, 43.9832743], [-68.0372161, 43.9790231], [-68.0313056, 44.00012], [-68.0606414, 44.0043715]]]"
CAR,"[104, 30]","[[[-68.0313084, 44.0001204], [-68.0372189, 43.9790235], [-68.0078974, 43.974768499999996], [-68.0019808, 43.995865099999996], [-68.0313084, 44.0001204]]]"
