Station,coordinate_x,coordinate_y,cor_1_x,cor_1_y,cor_2_x,cor_2_y,cor_3_x,cor_3_y,cor_4_x,cor_4_y,cor_5_x,cor_5_y
BTV,96,3,-73.2278317,43.341445,-73.2325846,43.3200997,-73.20325849999999,43.3166419,-73.19849939999999,43.3379868,-73.2278317,43.341445
BTV,97,4,-73.1937445,43.3593137,-73.1985033,43.337982000000004,-73.1691787,43.334519900000004,-73.1644136,43.355851300000005,-73.1937445,43.3593137
BTV,102,4,-73.0470708,43.3419499,-73.0518605,43.3206197,-73.0225448,43.3171339,-73.0177489,43.3384639,-73.0470708,43.3419499
BTV,103,5,-73.0129425,43.3597994,-73.01774189999999,43.3384662,-72.98840929999999,43.334974,-72.98360379999998,43.356306800000006,-73.0129425,43.3597994
BTV,108,5,-72.8663072,43.3422943,-72.87113749999999,43.3209625,-72.84181399999999,43.3174467,-72.83697749999999,43.3387781,-72.8663072,43.3422943
BTV,109,6,-72.832146,43.3600916,-72.8369822,43.338773399999994,-72.8076617,43.33525339999999,-72.8028193,43.35657129999999,-72.832146,43.3600916
BTV,112,6,-72.7441729,43.3495167,-72.74902759999999,43.3281994,-72.71972039999999,43.3246662,-72.71485949999999,43.345983200000006,-72.7441729,43.3495167
BTV,113,6,-72.714856,43.3459828,-72.7197169,43.3246658,-72.69040469999999,43.321127,-72.68553769999998,43.3424437,-72.714856,43.3459828
BTV,114,6,-72.6855391,43.3424439,-72.6904061,43.3211272,-72.6610989,43.3175841,-72.6562258,43.3389005,-72.6855391,43.3424439
BTV,114,7,-72.68067,43.3637577,-72.6855391,43.3424439,-72.6562258,43.3389005,-72.6513505,43.360214,-72.68067,43.3637577
BTV,115,7,-72.6513484,43.3602137,-72.6562236,43.338900300000006,-72.62690810000001,43.335351700000004,-72.6220267,43.356664800000004,-72.6513484,43.3602137
BTV,117,7,-72.5927114,43.3531118,-72.597599,43.3317989,-72.56829330000001,43.328241600000005,-72.56339960000001,43.34955420000001,-72.5927114,43.3531118
BTV,120,7,-72.5047711,43.3424236,-72.5096772,43.321111599999995,-72.4803779,43.317540199999996,-72.47546559999999,43.338851899999995,-72.5047711,43.3424236
BTV,120,8,-72.4998593,43.3637479,-72.5047699,43.3424287,-72.47546439999999,43.338857,-72.4705477,43.360175999999996,-72.4998593,43.3637479
BTV,122,8,-72.4412291,43.3565983,-72.446152,43.3352796,-72.4168466,43.331698,-72.4119175,43.3530164,-72.4412291,43.3565983
BTV,99,5,-73.1302884,43.373719,-73.135063,43.3523848,-73.10573070000001,43.3489123,-73.10094980000001,43.370246300000005,-73.1302884,43.373719
BTV,103,6,-73.0081445,43.3811141,-73.0129436,43.359794199999996,-72.9836049,43.356301699999996,-72.9787996,43.377621299999994,-73.0081445,43.3811141
BTV,109,7,-72.8273077,43.3814068,-72.83214600000001,43.360091600000004,-72.80281930000001,43.356571300000006,-72.79797490000001,43.377886200000006,-72.8273077,43.3814068
BTV,111,7,-72.7686483,43.3743614,-72.77349889999999,43.3530468,-72.7441623,43.3495155,-72.7393055,43.3708298,-72.7686483,43.3743614
BTV,112,7,-72.7393161,43.3708311,-72.7441729,43.349516699999995,-72.71485949999999,43.34598319999999,-72.70999659999998,43.36729729999999,-72.7393161,43.3708311
BTV,113,7,-72.7099931,43.3672968,-72.71485600000001,43.3459828,-72.68553770000001,43.342443700000004,-72.68066860000002,43.363757500000006,-72.7099931,43.3672968
BTV,119,8,-72.5291745,43.3673154,-72.5340789,43.345995800000004,-72.5047685,43.342428500000004,-72.4998579,43.363747800000006,-72.5291745,43.3673154
BTV,121,9,-72.4656253,43.3814915,-72.4705442,43.360175600000005,-72.44122770000001,43.35659810000001,-72.43630270000001,43.37791370000001,-72.4656253,43.3814915
BTV,122,9,-72.4363041,43.3779139,-72.4412291,43.3565983,-72.4119175,43.3530164,-72.4069863,43.3743318,-72.4363041,43.3779139
BTV,95,5,-73.2476729,43.3875643,-73.2524229,43.3662289,-73.2230767,43.3627745,-73.21832049999999,43.3841097,-73.2476729,43.3875643
BTV,99,6,-73.1255151,43.3950349,-73.1302895,43.3737139,-73.10095100000001,43.370241199999995,-73.0961704,43.39156189999999,-73.1255151,43.3950349
BTV,100,6,-73.0961661,43.3915614,-73.10094670000001,43.370240700000004,-73.07160180000001,43.366762200000004,-73.066815,43.388082700000005,-73.0961661,43.3915614
