Station,coordinate_x,coordinate_y,cor_1_x,cor_1_y,cor_2_x,cor_2_y,cor_3_x,cor_3_y,cor_4_x,cor_4_y,cor_5_x,cor_5_y
OKX,95,84,-71.9824025,41.5845537,-71.98733490000001,41.5630267,-71.9585593,41.559334,-71.953621,41.5808607,-71.9824025,41.5845537
OKX,96,85,-71.9486836,41.6023802,-71.9536234,41.5808594,-71.92484809999999,41.577162300000005,-71.9199024,41.598682700000005,-71.9486836,41.6023802
OKX,97,85,-71.9198983,41.5986822,-71.924844,41.5771618,-71.8960625,41.5734589,-71.8911109,41.594979099999996,-71.9198983,41.5986822
OKX,98,85,-71.8911143,41.5949795,-71.8960659,41.573459400000004,-71.8672935,41.5697528,-71.8623359,41.5912726,-71.8911143,41.5949795
OKX,99,85,-71.8623345,41.5912724,-71.8672921,41.5697526,-71.8385189,41.5660411,-71.8335555,41.5875605,-71.8623345,41.5912724
OKX,100,85,-71.8335582,41.5875609,-71.8385217,41.5660414,-71.8097562,41.562325900000005,-71.8047868,41.583845000000004,-71.8335582,41.5875609
OKX,101,85,-71.8047854,41.5838448,-71.8097548,41.5623257,-71.7809887,41.5586052,-71.7760134,41.580124000000005,-71.8047854,41.5838448
OKX,42,77,-73.542916,41.622734,-73.5475198,41.6011654,-73.51869640000001,41.597723699999996,-73.51408670000001,41.619291999999994,-73.542916,41.622734
OKX,43,77,-73.5140742,41.6192905,-73.518684,41.5977222,-73.48983759999999,41.5942728,-73.48522189999998,41.6158408,-73.5140742,41.6192905
OKX,44,77,-73.485226,41.6158413,-73.4898418,41.5942733,-73.46100569999999,41.5908203,-73.45638399999999,41.612387899999995,-73.485226,41.6158413
OKX,58,79,-73.0722287,41.6101878,-73.07693309999999,41.588624599999996,-73.04812949999999,41.5851079,-73.0434191,41.606670699999995,-73.0722287,41.6101878
OKX,59,79,-73.0434059,41.6066691,-73.04811629999999,41.5851062,-73.0192884,41.5815816,-73.01457199999999,41.6031441,-73.0434059,41.6066691
OKX,61,80,-72.9810351,41.6211572,-72.9857567,41.5996102,-72.95694069999999,41.5960776,-72.9522131,41.6176243,-72.9810351,41.6211572
OKX,62,80,-72.9522117,41.6176242,-72.9569393,41.5960774,-72.9281225,41.5925398,-72.9233889,41.6140863,-72.9522117,41.6176242
OKX,69,81,-72.7457165,41.6143116,-72.7504891,41.5927637,-72.7216819,41.5891934,-72.7169033,41.610741,-72.7457165,41.6143116
OKX,70,81,-72.7169033,41.610741,-72.7216819,41.5891934,-72.6928767,41.5856185,-72.6880921,41.607165800000004,-72.7169033,41.610741
OKX,71,81,-72.6880907,41.6071656,-72.6928753,41.5856183,-72.6640693,41.5820384,-72.6592788,41.6035853,-72.6880907,41.6071656
OKX,73,82,-72.6256725,41.621535,-72.6304696,41.5999973,-72.6016673,41.596408499999995,-72.5968642,41.617945799999994,-72.6256725,41.621535
OKX,74,82,-72.5968573,41.617945,-72.6016604,41.5964076,-72.5728463,41.5928124,-72.5680373,41.6143494,-72.5968573,41.617945
OKX,75,82,-72.5680456,41.6143504,-72.5728546,41.5928134,-72.54405919999999,41.589215599999996,-72.5392442,41.610752299999994,-72.5680456,41.6143504
